case_id,target,scale,region_kind,perturb_timestep,mode,model,target_var,mask_center_lat,mask_center_lon,pooled_saliency,dose_mm,actual_target_score,plus_target_score,minus_target_score,plus_target_delta,minus_target_delta,signed_target_response,common_target_response,mean_abs_target_delta,output_opposite_sign,stage_name,family,stage_index,n_blocks,plus_delta_rms_mean,minus_delta_rms_mean,contrast_rms_mean,common_rms_mean,signed_cosine_mean,contrast_share_mean,magnitude,perturb_level_hpa,plus_clip_frac,minus_clip_frac,plus_realized_frac,minus_realized_frac,pair_asymmetry
alps_east_2020-06-29T06:00:00,alps_east,synoptic,hotspot,t1,q850_trace,precip_only,q850,50.22747747747748,8.752625838336058,0.0001581767137395218,,7.442893028259277,8.607516288757324,6.585263729095459,1.1646232604980469,-0.8576292991638184,1.0111262798309326,0.15349698066711426,1.0111262798309326,True,dec_s1,decoder,1,10,0.007999118603765964,0.007186964387074113,0.006099106254987418,0.00454508657567203,0.3274524294408113,0.5763008118201121,1.0,850,0.0,0.004119016552818072,1.0,0.9971609242037252,0.0028390757962748836
alps_east_2020-06-29T06:00:00,alps_east,synoptic,hotspot,t1,q850_trace,precip_only,q850,50.22747747747748,8.752625838336058,0.0001581767137395218,,7.442893028259277,8.607516288757324,6.585263729095459,1.1646232604980469,-0.8576292991638184,1.0111262798309326,0.15349698066711426,1.0111262798309326,True,dec_s2,decoder,2,6,0.026243225981791813,0.024950827782352764,0.021946588531136513,0.01318621247385939,0.5184126842530613,0.624955157895009,1.0,850,0.0,0.004119016552818072,1.0,0.9971609242037252,0.0028390757962748836
alps_east_2020-06-29T06:00:00,alps_east,synoptic,low_near,t1,precip_trace,precip_only,q850,30.22747747747748,18.75262583833606,1.5600626284140162e-05,2.11,7.442893028259277,7.445290565490723,7.446368217468262,0.0023975372314453125,0.003475189208984375,-0.0005388259887695312,0.0029363632202148438,0.0029363632202148438,False,enc_s0,encoder,0,6,0.0039886680121223135,0.0005592026621646559,0.0019810399777876833,0.002049245658175399,-0.11961616031534168,0.49067701941307496,,,,,,,
alps_east_2020-06-29T06:00:00,alps_east,synoptic,low_near,t1,precip_trace,precip_only,q850,30.22747747747748,18.75262583833606,1.5600626284140162e-05,2.11,7.442893028259277,7.445290565490723,7.446368217468262,0.0023975372314453125,0.003475189208984375,-0.0005388259887695312,0.0029363632202148438,0.0029363632202148438,False,enc_s1,encoder,1,10,0.0026884784922003744,0.001558474381454289,0.0013126270147040485,0.001785409718286246,-0.2902334685615534,0.4378105608072912,,,,,,,
alps_east_2020-06-29T06:00:00,alps_east,synoptic,low_near,t1,precip_trace,precip_only,q850,30.22747747747748,18.75262583833606,1.5600626284140162e-05,2.11,7.442893028259277,7.445290565490723,7.446368217468262,0.0023975372314453125,0.003475189208984375,-0.0005388259887695312,0.0029363632202148438,0.0029363632202148438,False,enc_s2,encoder,2,8,0.0011116832320112735,0.0008452653855783865,0.0005554014787776396,0.0008165384788298979,-0.3871743395839738,0.4049354235912456,,,,,,,
alps_east_2020-06-29T06:00:00,alps_east,synoptic,low_near,t1,precip_trace,precip_only,q850,30.22747747747748,18.75262583833606,1.5600626284140162e-05,2.11,7.442893028259277,7.445290565490723,7.446368217468262,0.0023975372314453125,0.003475189208984375,-0.0005388259887695312,0.0029363632202148438,0.0029363632202148438,False,dec_s0,decoder,0,8,0.001711085016722791,0.001448836294002831,0.0008549057019990869,0.001335221721092239,-0.43009011283317045,0.39080067440131494,,,,,,,
alps_east_2020-06-29T06:00:00,alps_east,synoptic,low_near,t1,precip_trace,precip_only,q850,30.22747747747748,18.75262583833606,1.5600626284140162e-05,2.11,7.442893028259277,7.445290565490723,7.446368217468262,0.0023975372314453125,0.003475189208984375,-0.0005388259887695312,0.0029363632202148438,0.0029363632202148438,False,dec_s1,decoder,1,10,0.0025749420281499626,0.002445316780358553,0.0012860350077971816,0.0021566636161878703,-0.4892275401879974,0.3740727058985646,,,,,,,
alps_east_2020-06-29T06:00:00,alps_east,synoptic,low_near,t1,precip_trace,precip_only,q850,30.22747747747748,18.75262583833606,1.5600626284140162e-05,2.11,7.442893028259277,7.445290565490723,7.446368217468262,0.0023975372314453125,0.003475189208984375,-0.0005388259887695312,0.0029363632202148438,0.0029363632202148438,False,dec_s2,decoder,2,6,0.007552462086702387,0.006244258567069967,0.003763947752304375,0.0058179376646876335,-0.4440780123795509,0.3927847511659235,,,,,,,
alps_east_2020-06-29T06:00:00,alps_east,synoptic,low_near,t1,q850_trace,precip_only,q850,30.22747747747748,18.75262583833606,1.5600626284140162e-05,,7.442893028259277,7.4435296058654785,7.437142848968506,0.0006365776062011719,-0.005750179290771484,0.003193378448486328,-0.0025568008422851562,0.003193378448486328,True,enc_s0,encoder,0,6,0.011844138925274214,0.012614288832992315,0.01187027059495449,0.0029639495769515634,0.8882016513455523,0.7996471219151454,1.0,850,0.0,0.006735983971812498,1.0,0.9941714463220398,0.0058285536779601735
alps_east_2020-06-29T06:00:00,alps_east,synoptic,low_near,t1,q850_trace,precip_only,q850,30.22747747747748,18.75262583833606,1.5600626284140162e-05,,7.442893028259277,7.4435296058654785,7.437142848968506,0.0006365776062011719,-0.005750179290771484,0.003193378448486328,-0.0025568008422851562,0.003193378448486328,True,enc_s1,encoder,1,10,0.005741209536790848,0.00660730036906898,0.005636163661256433,0.0024226858862675727,0.7255880345761441,0.7202550402402291,1.0,850,0.0,0.006735983971812498,1.0,0.9941714463220398,0.0058285536779601735
