case_id,target,scale,region_kind,perturb_timestep,mode,model,target_var,mask_center_lat,mask_center_lon,pooled_saliency,magnitude,perturb_level_hpa,plus_clip_frac,minus_clip_frac,plus_realized_frac,minus_realized_frac,pair_asymmetry,actual_target_score,plus_target_score,minus_target_score,plus_target_delta,minus_target_delta,signed_target_response,common_target_response,mean_abs_target_delta,output_opposite_sign
caspian_lowland_2020-09-19T06:00:00,caspian_lowland,local,low_near,t1,q850_trace,precip_zwd,q850,60.97747747747748,55.57755541383499,1.6073196320576244e-06,1.0,850,0.0,0.0,1.0,1.0,0.0,3.9634947776794434,3.9484970569610596,3.9636902809143066,-0.014997720718383789,0.00019550323486328125,-0.007596611976623535,-0.007401108741760254,0.007596611976623535,True
caspian_lowland_2020-09-19T06:00:00,caspian_lowland,synoptic,hotspot,t1,q850_trace,precip_zwd,q850,48.47747747747748,45.57755541383499,0.00015244846872519702,1.0,850,0.0,0.011058368028852529,0.9999999142698811,0.9954885382260312,0.004511376430610764,3.9634947776794434,5.090719699859619,2.647278070449829,1.1272249221801758,-1.3162167072296143,1.221720814704895,-0.09449589252471924,1.221720814704895,True
caspian_lowland_2020-09-19T06:00:00,caspian_lowland,synoptic,low_near,t1,q850_trace,precip_zwd,q850,38.47747747747748,70.577555413835,1.2659621461352799e-05,1.0,850,0.0,0.061543277508217246,0.9999998987590697,0.8955566165605054,0.10444329277250036,3.9634947776794434,3.96006178855896,3.9617066383361816,-0.0034329891204833984,-0.0017881393432617188,-0.0008224248886108398,-0.0026105642318725586,0.0026105642318725586,False
caucasus_2020-08-22T12:00:00,caucasus,local,hotspot,t1,q850_trace,precip_zwd,q850,42.22747747747748,43.57312758741756,8.379690552828833e-05,1.0,850,0.0,0.0,0.9999999310517531,0.9999999310517531,0.0,7.902630805969238,9.100576400756836,6.658397674560547,1.1979455947875977,-1.2442331314086914,1.2210893630981445,-0.023143768310546875,1.2210893630981445,True
caucasus_2020-08-22T12:00:00,caucasus,local,low_near,t1,q850_trace,precip_zwd,q850,57.22747747747748,53.57312758741756,8.667876727486146e-07,1.0,850,0.0,0.0,1.0,1.0,0.0,7.902630805969238,7.895705223083496,7.901942253112793,-0.0069255828857421875,-0.0006885528564453125,-0.0031185150146484375,-0.00380706787109375,0.00380706787109375,False
caucasus_2020-08-22T12:00:00,caucasus,synoptic,hotspot,t1,q850_trace,precip_zwd,q850,44.72747747747748,43.57312758741756,0.00013724413292948157,1.0,850,0.0,0.0004262090128999261,0.9999999081208744,0.9998775251254954,0.00012238300662338302,7.902630805969238,9.254231452941895,6.537674903869629,1.3516006469726562,-1.3649559020996094,1.3582782745361328,-0.0066776275634765625,1.3582782745361328,True
caucasus_2020-08-22T12:00:00,caucasus,synoptic,low_near,t1,q850_trace,precip_zwd,q850,59.72747747747748,48.57312758741756,8.51015738589922e-06,1.0,850,0.0,0.0015120662889861092,1.0,0.9994103898129129,0.0005896101870871458,7.902630805969238,7.9263763427734375,7.868712902069092,0.02374553680419922,-0.033917903900146484,0.02883172035217285,-0.005086183547973633,0.02883172035217285,True
ganges_plain_2020-07-19T12:00:00,ganges_plain,local,hotspot,t1,q850_trace,precip_zwd,q850,24.47747747747748,89.24892185705099,8.608861389802769e-05,1.0,850,0.010495382031905962,0.0,0.9930271745366491,1.0000000847440536,0.006972909616491666,15.634991645812988,17.43934440612793,13.87150764465332,1.8043527603149414,-1.763484001159668,1.7839183807373047,0.02043437957763672,1.7839183807373047,True
ganges_plain_2020-07-19T12:00:00,ganges_plain,local,low_near,t1,q850_trace,precip_zwd,q850,36.97747747747748,79.24892185705099,1.4308703839560621e-06,1.0,850,0.0,0.0,1.0,0.9999999256149468,7.438505318642881e-08,15.634991645812988,15.622967720031738,15.63922119140625,-0.01202392578125,0.004229545593261719,-0.00812673568725586,-0.0038971900939941406,0.00812673568725586,True
ganges_plain_2020-07-19T12:00:00,ganges_plain,synoptic,hotspot,t1,q850_trace,precip_zwd,q850,21.97747747747748,89.24892185705099,0.00015920671285130084,1.0,850,0.003003782540977527,0.0,0.9983519268484577,0.9999999400373604,0.0016480132877217492,15.634991645812988,17.823347091674805,13.510102272033691,2.1883554458618164,-2.124889373779297,2.1566224098205566,0.031733036041259766,2.1566224098205566,True
