case_id,target,scale,region_kind,perturb_timestep,mode,model,target_var,mask_center_lat,mask_center_lon,pooled_saliency,dose_mm,actual_target_score,plus_target_score,minus_target_score,plus_target_delta,minus_target_delta,signed_target_response,common_target_response,mean_abs_target_delta,output_opposite_sign,magnitude,perturb_level_hpa,plus_clip_frac,minus_clip_frac,plus_realized_frac,minus_realized_frac,pair_asymmetry
cascades_sierra_2020-11-13T18:00:00,cascades_sierra,synoptic,low_near,t1,q850_trace,precip_only,q850,59.47747747747748,239.69295654039695,1.033178068610141e-05,,4.549033164978027,4.556301593780518,4.5418500900268555,0.007268428802490234,-0.007183074951171875,0.007225751876831055,4.267692565917969e-05,0.007225751876831055,True,1.0,850,0.0,0.1635890872894956,1.0,0.7304910522845454,0.26950894771545464
caspian_lowland_2020-09-19T06:00:00,caspian_lowland,local,hotspot,t1,precip_trace,precip_only,q850,45.97747747747748,45.57755541383499,8.502865966875106e-05,2.11,4.041501998901367,4.0655131340026855,4.04288911819458,0.02401113510131836,0.0013871192932128906,0.011312007904052734,0.012699127197265625,0.012699127197265625,False,,,,,,,
caspian_lowland_2020-09-19T06:00:00,caspian_lowland,local,hotspot,t1,q850_trace,precip_only,q850,45.97747747747748,45.57755541383499,8.502865966875106e-05,,4.041501998901367,5.007637977600098,3.094254493713379,0.9661359786987305,-0.9472475051879883,0.9566917419433594,0.009444236755371094,0.9566917419433594,True,1.0,850,0.0,0.00512,1.0,0.9982715904629014,0.0017284095370986533
caspian_lowland_2020-09-19T06:00:00,caspian_lowland,local,low_near,t1,precip_trace,precip_only,q850,60.97747747747748,55.57755541383499,1.6073196320576244e-06,2.11,4.041501998901367,4.04622220993042,4.045566082000732,0.004720211029052734,0.004064083099365234,0.00032806396484375,0.004392147064208984,0.004392147064208984,False,,,,,,,
caspian_lowland_2020-09-19T06:00:00,caspian_lowland,local,low_near,t1,q850_trace,precip_only,q850,60.97747747747748,55.57755541383499,1.6073196320576244e-06,,4.041501998901367,4.021257400512695,4.0439910888671875,-0.020244598388671875,0.0024890899658203125,-0.011366844177246094,-0.008877754211425781,0.011366844177246094,True,1.0,850,0.0,0.0,1.0,1.0,0.0
caspian_lowland_2020-09-19T06:00:00,caspian_lowland,synoptic,hotspot,t1,precip_trace,precip_only,q850,48.47747747747748,45.57755541383499,0.00015244846872519702,2.11,4.041501998901367,4.066951274871826,4.0421600341796875,0.025449275970458984,0.0006580352783203125,0.012395620346069336,0.013053655624389648,0.013053655624389648,False,,,,,,,
caspian_lowland_2020-09-19T06:00:00,caspian_lowland,synoptic,hotspot,t1,q850_trace,precip_only,q850,48.47747747747748,45.57755541383499,0.00015244846872519702,,4.041501998901367,5.241462230682373,2.6639959812164307,1.1999602317810059,-1.3775060176849365,1.2887331247329712,-0.08877289295196533,1.2887331247329712,True,1.0,850,0.0,0.011058368028852529,0.9999999142698811,0.9954885382260312,0.004511376430610764
caspian_lowland_2020-09-19T06:00:00,caspian_lowland,synoptic,low_near,t1,precip_trace,precip_only,q850,38.47747747747748,70.577555413835,1.2659621461352799e-05,2.11,4.041501998901367,4.040484428405762,4.0413432121276855,-0.0010175704956054688,-0.00015878677368164062,-0.00042939186096191406,-0.0005881786346435547,0.0005881786346435547,False,,,,,,,
caspian_lowland_2020-09-19T06:00:00,caspian_lowland,synoptic,low_near,t1,q850_trace,precip_only,q850,38.47747747747748,70.577555413835,1.2659621461352799e-05,,4.041501998901367,4.036161422729492,4.046664714813232,-0.005340576171875,0.005162715911865234,-0.005251646041870117,-8.893013000488281e-05,0.005251646041870117,True,1.0,850,0.0,0.061543277508217246,0.9999998987590697,0.8955566165605054,0.10444329277250036
caucasus_2020-08-22T12:00:00,caucasus,local,hotspot,t1,precip_trace,precip_only,q850,42.22747747747748,43.57312758741756,8.379690552828833e-05,2.11,7.84367036819458,7.845377445220947,7.843379974365234,0.0017070770263671875,-0.0002903938293457031,0.0009987354278564453,0.0007083415985107422,0.0009987354278564453,True,,,,,,,
